Column1;Course code;Course Name;Long descrition;Description;Prerequisites:;Semester;Format;CRN;Subject;Course;Type;Credits;Instructor;Status
0;ANAT 214 ;Systemic Human Anatomy.;"Introduction to the gross anatomy of the various organ systems of head, neck and trunk regions of the human body. Emphasis on functional anatomy. Laboratory component includes exploration of the human body through cadaveric prosections, imaging and other materials. 
 
 Fall
 2 hours lectures, 2 hours laboratory
 Prerequisites: BIOL 112 (or CEGEP equivalent), PHGY 209 and PHGY 210
 This course is limited in size, with guaranteed admission for all students enrolled in the Department of Anatomy and Cell Biology. Students in other programs will be permitted to enroll as space allows.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Laboratory, Midterm Exam 
 All Sections for this Course 
 
 Faculty of Science 
 Anatomy and Cell Biology Department";"Introduction to the gross anatomy of the various organ systems of head, neck and trunk regions of the human body. Emphasis on functional anatomy. Laboratory component includes exploration of the human body through cadaveric prosections, imaging and other materials. 
 ";BIOL 112 (or CEGEP equivalent), PHGY 209 and PHGY 210; Fall;;1181;ANAT;214;Lecture;30;Mette Calve Coleman, Gabriel  Venne;Active
1;ANAT 261 ;Introduction to Dynamic Histology.;"An introduction to light and electron microscopic anatomy in which cell and tissue dynamics will be explored in the principal tissues and organs of the body. 
 
 Fall
 3 hours lectures, 2 hours laboratory
 Must be taken in U1 by students in Anatomy and Cell Biology programs
 Prerequisite: BIOL 112 or CEGEP equivalent
 Restriction: Open to students in biological sciences and others by special permission
 
 4.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Laboratory 
 All Sections for this Course 
 
 Faculty of Science 
 Anatomy and Cell Biology Department";An introduction to light and electron microscopic anatomy in which cell and tissue dynamics will be explored in the principal tissues and organs of the body. ;BIOL 112 or CEGEP equivalent; Fall;;1184;ANAT;261;Lecture;40;Craig A.  Mandato, Carlos R  Morales;Active
2;ANAT 315 ;Clinical Human Musculoskeletal Anatomy.;"The regional human gross anatomy of the skeleton, joints, muscles and neurovascular structures of the body as it relates to physical and occupational therapists. Laboratories include the study of prepared cadaveric specimens and the completion of a cadaveric-dissection. 
 
 Fall
 2 hours lectures, 2 hour laboratory
 Restriction: Open to students in Physical and Occupational Therapy and Kinesiology. Not open to students who have taken or are taking ANAT 314.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Laboratory, Midterm Exam 
 All Sections for this Course 
 
 Faculty of Science 
 Anatomy and Cell Biology Department";The regional human gross anatomy of the skeleton, joints, muscles and neurovascular structures of the body as it relates to physical and occupational therapists. Laboratories include the study of prepared cadaveric specimens and the completion of a cadaveric-dissection. ;; Fall;;1188;ANAT;315;Lecture;30;Campbell  Rolian;Active
3;ANAT 321 ;Circuitry of the Human Brain.;"This course explores the functional organization of the human brain and spinal cord. The course focuses on how neuronal systems are designed to subserve specific motor, sensory, and cognitive operations. 
 
 Fall
 3 hours lecture
 Prerequisites: ANAT/BIOC 212 or BIOL 201; and one of PHGY 209, NSCI 200 or PSYC 211; or permission of instructor
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Anatomy and Cell Biology Department";This course explores the functional organization of the human brain and spinal cord. The course focuses on how neuronal systems are designed to subserve specific motor, sensory, and cognitive operations. ;"ANAT/BIOC 212 or BIOL 201; and one of PHGY 209, NSCI 200 or PSYC 211; or permission of instructor"; Fall;;1191;ANAT;321;Lecture;30;David S  Ragsdale;Active
4;ANAT 323 ;Clinical Neuroanatomy.;"This course will focus on the structural and functional relationships of the central nervous system. The human neuroanatomy will be introduced via pathological cases and will be illustrated by use of new medical imaging techniques. 
 
 Prerequisites for Physical & Occupational Therapy students: ANAT 315 and ANAT 316
 Prerequisites for Honours Anatomy & Cell Biology students: ANAT 214 and ANAT 314.
 Restrictions: Restricted to Honours Anatomy & Cell Biology students and Physical & Occupational Therapy students.
 Not open to students who have taken or are taking ANAT 321.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Laboratory, Midterm Exam 
 All Sections for this Course 
 
 Faculty of Science 
 Anatomy and Cell Biology Department";This course will focus on the structural and functional relationships of the central nervous system. The human neuroanatomy will be introduced via pathological cases and will be illustrated by use of new medical imaging techniques. ;ANAT 315 and ANAT 316 or ANAT 214 and ANAT 314.;;;1192;ANAT;323;Lecture;30;Mikaela Liis Stiver;Active
6;ANAT 365 ;Cellular Trafficking.;"This course explores the fundamental mechanisms that govern the organizations of intracellular membranes, how vesicle generation is signaled, how the membranes curve and bud, and how vesicles know where to go and fuse. In addition to intracellular vesicles, the principles of mitochondrial dynamics and process of cellular autophagy are examined. Also, there is a focus on ""Applied Cell Biology"", with respect to how the exquisite regulation of cellular transport plays a central role in complex biological systems. A series of modules will take students through the mechanisms of cellular polarity, neurotransmission, metabolic cell biology, pathogen invasion, and more. The emphasis is on the morphological aspects of the processes, and on the major techniques that led to discovery. 
 
 Fall
 3 hours lectures
 Prerequisites: ANAT 261, ANAT 262, PHGY 209, or by permission of instructor
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam 
 
 Faculty of Science 
 Anatomy and Cell Biology Department";"This course explores the fundamental mechanisms that govern the organizations of intracellular membranes, how vesicle generation is signaled, how the membranes curve and bud, and how vesicles know where to go and fuse. In addition to intracellular vesicles, the principles of mitochondrial dynamics and process of cellular autophagy are examined. Also, there is a focus on ""Applied Cell Biology"", with respect to how the exquisite regulation of cellular transport plays a central role in complex biological systems. A series of modules will take students through the mechanisms of cellular polarity, neurotransmission, metabolic cell biology, pathogen invasion, and more. The emphasis is on the morphological aspects of the processes, and on the major techniques that led to discovery. ";ANAT 261, ANAT 262, PHGY 209, or by permission of instructor; Fall;;1194;ANAT;365;Lecture;30;Natalie  Zeytuni, Heidi May McBride, Jennifer Lynn Estall, Wayne Steven  Sossin, Timothy E  Kennedy, Thomas  Stroh;Active
7;ANAT 381 ;Experimental Embryology.;"The basic processes of reproduction and embryonic development, such as molecular signaling; cell-cell interaction; differentiation; cell fate determination; genetic and epigenetic control of embryonic development. 
 
 Fall
 3 hour lectures
 Prerequisites: ANAT 261, BIOL 202 or permission of instructor
 Restriction(s): Not open to students who have taken BIOL 303.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Laboratory, Midterm Exam, Conference 
 
 Faculty of Science 
 Anatomy and Cell Biology Department";"The basic processes of reproduction and embryonic development, such as molecular signaling; cell-cell interaction; differentiation; cell fate determination; genetic and epigenetic control of embryonic development. 
 ";ANAT 261, BIOL 202 or permission of instructor; Fall;;1195;ANAT;381;Lecture;30;Asangla  Ao, Jason  Tanny, Hugh  Clarke, Aimee  Ryan, Makoto  Nagano;Active
8;ATOC 181 ;Introduction to Atmospheric Science.;"A survey of the Earth's atmosphere, weather and climate system. Topics include the fundamental processes that determine interactions between the atmosphere, ocean and biosphere; anthropogenic effects such as global warming, the ozone hole and acid rain; a perspective on future climate change. 
 
 Fall and Winter
 3 hours lecture
 Restriction: Not open to students who have taken ATOC 210, ATOC 214, ENVB 301 or NRSC 201.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";"A survey of the Earth's atmosphere, weather and climate system. Topics include the fundamental processes that determine interactions between the atmosphere, ocean and biosphere; anthropogenic effects such as global warming, the ozone hole and acid rain; a perspective on future climate change. ";;Winter;;1324;ATOC;181;Lecture;30;Parisa A  Ariya;Active
9;ATOC 182 ;Introduction to Oceanic Sciences.;"Air-sea interaction; oceanic properties; global climate change, carbon cycle; polar oceans, sea ice, polynyas; El Ni̱o; remote sensing of oceans; physical control of biological processes in the sea. 
 
 Fall and Winter
 3 hours lecture
 Restriction: Not open to students who have taken ATOC 220, EPSC 360 or EPSC 560.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";"Air-sea interaction; oceanic properties; global climate change, carbon cycle; polar oceans, sea ice, polynyas; El Ni̱o; remote sensing of oceans; physical control of biological processes in the sea. ";;Winter;;1325;ATOC;182;Lecture;30;Nathalie  Toque;Active
10;ATOC 185 ;Natural Disasters.;"This course examines the science behind different types of disasters and our ability or inability to control and predict such events. From this course the student will gain an appreciation of natural disasters beyond the newspaper headlines and will better understand how the effects of disasters can be reduced. 
 
 Fall
 3 hours lecture
 This is a double-prefix course and is identical in content with EPSC 185.
 Restriction: Not open to students who have taken or are taking EPSC 185.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";This course examines the science behind different types of disasters and our ability or inability to control and predict such events. From this course the student will gain an appreciation of natural disasters beyond the newspaper headlines, and will better understand how the effects of disasters can be reduced. ;; Fall;;1326;ATOC;185;Lecture;30;John Richard  Gyakum, John  Stix;Active
